作物,年份,1月價格,2月價格,3月價格,4月價格,5月價格,6月價格,7月價格,8月價格,9月價格,10月價格,11月價格,12月價格,
火鶴(紅)(元/支),2012,4.97,2.80,2.37,2.09,2.43,2.97,4.54,4.78,4.64,5.20,3.31,4.77,
非洲菊(元/支),2012,57.75,62.83,51.83,33.03,57.04,42.80,61.97,59.37,63.50,78,68.47,59.42,
滿天星(元/ 把),2012,82.50,65.33,63.33,42,22.67,39.67,51,63,36.67,46.67,43.33,67.67,
卡斯比亞(元/把),2012,-,-,-,3.78,4.52,2.35,3.50,4.60,5.17,5.55,4.50,-,
香石竹(康乃馨)大輪(元/支),2012,3.23,4.09,3.72,2.65,3.47,2,2.53,3.95,4.53,5.03,4.05,3.97,
香石竹(康乃馨)中康(元/支),2012,12,11,9.33,7,7.33,8,7,8.33,6.67,9.67,7.17,10.50,
天堂鳥(元/支),2012,4.50,6.33,6.83,6.33,4.50,3.83,3.67,4.83,3.67,5.83,4.67,5.83,
夜來香(元/支),2012,4.75,8.80,7.05,4.70,4.58,4.45,5.55,6.99,5.43,6.79,4.64,5.37,
唐菖蒲(劍蘭)(元/支),2012,-,-,-,-,-,30.39,31.73,29.81,35.40,33.86,25.69,29.77,
葵百合(紅)(元/支),2012,-,-,-,-,-,-,-,-,-,-,-,-,
姬百合(橙)(元/支),2012,23.34,40.20,35.12,25.17,22.33,28.62,29.53,34.14,33.83,37.52,31.21,29.84,
香水百合(白)(元/支),2012,20.03,24.47,21.85,27.15,22,22,23.67,24,24,24,23.33,24.33,
香水百合(黃)(元/支),2012,-,-,-,-,-,-,-,-,-,-,-,-,
聖誕紅(元/盆),2011,4.06,3.25,3.14,3.92,6.10,5.68,3.21,7.48,7.55,9.41,6.61,15.82,
蘿蔔(元/公斤),2011,9.77,7.72,6.96,7.06,7.58,7.73,11.73,12.17,12.77,13.27,13.17,17,
胡蘿蔔(元/公斤),2011,15,-,10.73,10.79,-,-,-,-,-,-,-,-,
牛蒡(元/公斤),2011,33.67,-,-,-,53.32,55.81,41.48,33.33,31.67,35.37,35,20,
生薑(嫩薑)(元/公斤),2011,-,-,-,-,-,-,-,-,-,-,-,-,
生薑(老薑粉薑)(元/公斤),2011,23.67,22.02,22.33,25,28.67,30,20,25.24,31.17,29.42,30.98,31.73,
芋頭(元/公斤),2011,-,-,-,86.86,97.33,69.60,59.53,49.95,40.95,38.83,40,-,
綠竹筍(元/公斤),2011,-,-,-,25.67,21,21.33,16,16,16,17.67,-,-,
烏殼;綠竹筍(元/公斤),2011,60,72.50,60,40,25,28.08,20.48,20.53,19.73,20.51,34.33,50,
麻竹筍(元/公斤),2011,-,-,30,25.67,17.67,11,-,-,-,-,-,-,
桂竹筍(生筍)(元/公斤 ),2011,-,-,-,-,-,-,-,-,-,-,-,-,
轎篙筍(元/公斤),2011,-,-,-,-,67,69.33,70.83,73.17,68.33,62.67,63.33,-,
白蘆筍(元/公斤),2011,-,-,80.56,80.14,76.13,77.66,73.44,76.94,79.67,80.55,77.50,-,
綠蘆筍(元/公斤),2011,-,-,67.50,50,38.33,40.67,53.33,41,37.33,37.67,47.67,-,
茭白筍(帶殼)(元/公斤),2011,8.17,7,7.17,-,-,-,-,-,-,-,-,-,
大芥菜(鮮食)(元/公斤),2011,13.90,12.54,11.69,11.56,10.83,11.73,12.47,12.33,12.57,11.50,13.40,15.22,
馬鈴薯(食用)(元/公斤),2011,20.94,18.79,18.31,18.61,19.33,20.73,26.31,35.81,40.12,39.32,39.80,42.02,
青蔥(元/公斤),2011,13.93,14.60,13.22,13.24,11.18,14,14,-,-,-,-,15.53,
洋蔥(內銷)(元/公斤),2011,41.14,30.29,35.53,41.61,40,-,-,-,-,-,-,57.50,
青蒜(元/公斤),2011,83.30,75.15,45.55,40.58,32.88,26.30,25.04,24.12,24.14,21.68,21.81,23.67,
蒜頭(蒜球)(元/公斤),2011,19.11,23.33,20.79,20.78,14.72,13.72,14.56,16.11,22.05,27.33,26.33,27.56,
韭菜(元/公斤),2011,-,-,-,-,-,-,-,-,-,-,-,-,
韭黃(元/公斤),2011,-,-,-,-,-,-,-,-,-,-,-,-,
蕹菜(空心菜)(元/公斤),2011,19.94,19.42,21.83,27.11,22.75,-,-,-,-,-,-,-,
芹菜(土芹菜)(元/公斤),2011,7.39,4.05,3.31,2.85,4.36,7.61,10.02,13.69,16.26,15.72,8.78,21.53,
甘藍(元/公斤),2011,16.73,6.80,16.22,18.21,20.47,-,-,-,-,-,-,-,
甘藍芽(元/公斤),2011,15,11.50,11.08,11.42,11,11.28,13.50,13.13,16.25,17.33,25.25,49.08,
小白菜(元/公斤),2011,13.88,10.25,10.05,11.67,11.83,10.83,13,13.50,13.50,12.83,22.33,46.67,
青江白菜(元/公斤),2011,6.79,3.36,3.95,4.33,6.96,9.16,9.86,11.17,11.67,13.58,9.07,22.21,
結球白菜(元/ 公斤),2011,17.67,10.50,13.42,15.78,-,35.48,38.01,76.38,42.37,29.18,33.85,61.67,
菠菜(元/公斤),2011,-,-,-,-,-,-,-,-,-,-,-,-,
芥藍(元/公斤),2011,38.67,-,24.33,21.67,17.83,16.70,14.67,14.67,19.33,23,40.67,58.67,
莧菜(元/公斤),2011,17.83,12,12.67,12.67,12,-,-,-,-,-,-,-,
本島萵苣(元/公斤),2011,7.17,9,9.89,11.50,10,-,-,-,-,-,-,-,
萵苣(油麥菜)(元/公斤),2011,28.78,12.42,20.83,22.33,-,-,-,-,45,37.33,31.11,51,
茼萵(元/公斤),2011,12.82,9.07,10.16,10.21,17.29,24.10,27.22,21.22,26.78,24.78,21.26,42.91,
花椰菜(白)(元/公斤),2011,14.49,11.21,10.94,12.59,14.12,-,-,-,-,-,-,-,
青花苔(元/公斤),2011,566.67,570.84,570.56,580.28,581.95,594.45,598.89,599.44,596.67,597.78,583.33,579.45,
金針菜  (乾)(元/公斤),2011,11.68,15.50,13.38,9.25,9.50,11.08,11.86,12.91,13.92,12.98,18.54,36.54,
胡瓜(黑刺)(元/公斤),2011,17.04,18.37,19.11,19.83,21.17,19.43,22.12,26.67,24.78,29.87,36.67,51.42,
花胡瓜(元/公斤),2011,-,-,-,10.03,7.48,-,-,-,-,-,-,-,
冬瓜(元/公斤),2011,44.33,86.13,62.71,37.90,28.84,20.89,20.20,20.69,26.95,31.86,35.63,55.88,
苦瓜(元/公斤),2011,-,-,-,-,-,-,-,-,-,-,-,-,
絲瓜(菱角)(元/公斤),2011,22.65,16.51,17.37,18.47,14.56,14.28,16.98,14.10,16.38,14.78,23.32,35.85,
絲瓜(元/公斤),2011,11.33,12.34,13.89,11.78,9,-,-,-,-,-,-,-,
扁蒲(元/公斤),2011,32.07,21.63,19.47,19.47,17.86,22.11,16.05,18.11,21.78,20.43,21.28,32.73,
茄子(元/公斤),2011,23.69,13.90,16.58,16.18,11.83,14.72,27.60,25.03,27.64,31.64,32.34,30.65,
番茄(黑柿)(元/公斤),2011,-,-,-,-,-,-,-,-,-,-,-,-,
小蕃茄(聖女)(元/公斤),2011,25.58,18.66,19.89,20.82,16.82,29.31,24.36,26.23,27.97,29.50,25.34,41.25,
甜椒(青椒)(元/公斤),2011,-,-,-,14.63,12.90,14.39,15.33,15.33,-,-,13,-,
西瓜(大粒)(元/公斤),2011,-,-,20.33,14.37,13.31,16.04,13.70,11.45,13.72,15.33,13.50,-,
西瓜(小粒)(元/公斤),2011,-,-,-,-,17.23,-,-,-,-,-,-,-,
西瓜(無子)(元/公斤),2011,41.33,39,43.58,42.83,31.38,35.18,28.76,27.52,26.04,31.68,25,27.67,
洋香瓜(元/ 公斤),2011,-,-,81.67,56.72,32.77,40.11,38,36.28,37.60,35.33,34,-,
香瓜(美濃瓜)(元/公斤),2011,33.13,62.34,39.45,34.11,38.75,44.25,52.09,57.38,57.26,55.62,48.85,64.97,
敏豆(四季豆)(元/公斤),2011,35.44,47.50,40.22,27.78,23.78,21.89,19.22,21.25,27.83,37,44.25,60,
豇豆(元/公斤),2011,63.36,31.64,37.85,56.33,48,-,-,-,-,-,92.67,121.65,
豌豆(元/公斤),2011,46.17,40.50,37.67,40.33,-,-,-,-,-,-,-,-,
甜豌豆(元/公斤),2011,24.85,14.70,14.37,14.70,14.60,-,-,-,-,-,-,-,
毛豆(帶莢)(元/公斤),2011,64.22,50.33,56.55,78.67,41.74,38.74,25.01,20,27.33,53.33,47.78,55.36,
辣椒(元/公斤),2011,15.19,12.06,11.29,12.21,11.93,11.42,11.33,11.27,13.06,12.16,12.74,14.69,
甜玉米(鮮食)(元/公斤),2011,78.83,81,-,-,-,-,-,58.33,51.33,55,75,81.33,
蓮藕(元/公斤),2011,135.62,120.84,99.45,62.78,-,-,-,-,-,-,-,98.33,
草莓(元/公斤),2011,81.80,81.25,79.58,97.50,100,100,100,93.33,96.67,100,95,84.67,
洋菇(元/公斤),2011,904.17,902.50,895,901.67,912.50,932.50,964.17,990.83,1010.83,980,970.83,989.17,
香菇(太空包)乾(元/公斤),2011,66,66.34,63.33,63.33,63.33,66.67,72.22,73.33,76.33,71.11,69.44,68.44,
香菇(太空包)鮮(元/公斤),2011,50,46,42,45.33,39.33,37.67,42.67,45.33,44.33,43.33,31.83,32.50,
木耳(黑色溼)(元/公斤),2011,94.67,97,77.67,78.33,74.67,-,-,-,-,-,-,-,
鮑魚菇(元/公斤),2011,-,-,-,-,-,73.44,74.22,77.67,81.67,81.78,81.33,85,
杏鮑菇(元/公斤),2011,16.67,17,20.67,22,-,-,-,-,31.33,25.33,20.58,18.17,
葡萄柚(元/公斤),2011,-,-,69.45,76.05,64.58,55.42,43.67,-,-,-,-,-,
芒果(在來)(元/公斤),2011,-,-,-,104.21,86.06,66.59,40.21,50.36,-,-,-,-,
芒果(愛文)(元/公斤),2011,-,-,-,-,50,29.88,22.78,26.97,-,-,-,-,
芒果(金煌)(元/公斤),2011,-,-,-,-,-,-,-,-,-,-,-,-,
番石榴(泰國)(元/公斤),2011,-,-,-,-,-,-,-,-,-,-,-,-,
番石榴(世紀)(元/公斤),2011,35,16.75,26.28,17.96,16.24,29.27,13.71,10.21,13.25,19.91,25.29,25.47,
番石榴(珍珠)(元/公斤),2011,63.46,55.56,61.71,62.30,45.39,40.47,-,-,-,-,64.64,53.93,
蓮霧(元/公斤),2011,-,90,115.83,116.75,-,-,-,-,-,-,-,-,
枇杷(元/公斤),2011,-,-,-,-,-,27.99,20.88,-,-,-,-,-,
荔枝(黑葉)(元/公斤),2011,-,-,-,-,95,86.01,-,-,-,-,-,-,
荔枝(玉荷)(元/公斤),2011,-,-,-,-,-,-,70,29.91,20.31,45,-,-,
龍眼(大粒)(元/公斤),2011,52.90,56.57,65.08,-,-,-,-,-,-,-,47.25,51.33,
棗子(元/公斤),2011,59.33,59.25,77.25,-,-,-,-,74.55,59,59.56,60.11,52.67,
番荔枝(元/公斤),2011,27.42,20.19,20.50,26.33,-,-,-,29,20.33,20.28,22.08,20.69,
楊桃(馬來種)(元/公斤),2011,-,-,-,-,-,64.50,49.22,42,51.56,53.33,64,74.33,
酪梨(元/公斤),2011,5.17,5.07,5.31,5.55,6,6.56,6.50,5.50,5.42,5.50,5.17,5.25,
椰子(元/公斤),2011,0.71,1.19,1.30,1.56,2.14,2.74,1.76,1.18,0.93,0.67,0.39,0.44,
檳榔(元/ 粒),2011,30.93,18.20,21.87,27.92,23.79,14.61,13.59,24.01,18.46,18.39,30.61,17.28,
木瓜(元/公斤),2011,-,-,-,-,-,69.33,43.17,31.67,20.83,19,20.50,13,
百香果(元/公斤),2011,24.96,26.90,25.06,29.58,21.30,11.13,8.77,8.88,7.29,8.01,10.94,12.60,
香蕉(內銷)(元/公斤),2011,-,-,-,-,-,21.06,17.97,15.15,17.50,19.44,17.75,-,
鳳梨(開英)(元/公斤),2011,16.67,17.50,17.66,16.71,18.51,26.98,23.26,18.98,20.39,21,15.83,17,
鳳梨(17號)(元/公斤),2011,-,-,-,-,-,90.67,39,33.33,46.80,44.17,49.17,-,
紅龍果(元/公斤),2011,20.09,17,-,-,-,-,-,-,-,31.93,20.18,17.22,
椪柑(元/公斤),2011,35.20,34.82,37.10,38.67,-,-,-,-,-,-,-,-,
桶柑(元/公斤),2011,-,-,-,-,-,-,-,26.23,25.25,-,-,-,
文旦(元/公斤),2011,9.73,10.92,12.31,12.38,-,-,-,-,-,13.67,11.44,11.68,
柳橙(元/公斤),2011,46.61,40.92,33.56,32.90,32.48,44.77,28.92,14.28,17.41,23.65,41.57,43.71,
檸檬(元/公斤),2011,23.17,-,-,-,-,-,-,-,-,-,-,12,
海梨柑(元/公斤),2011,41.85,42.63,41.33,35.50,-,-,-,-,-,-,-,31,
茂谷柑(元/公斤),2011,-,-,-,-,-,-,-,-,-,-,-,-,
金柑(元/公斤),2011,-,-,-,-,19,-,-,-,-,-,-,-,
李(玉李)(元/公斤),2011,-,-,-,-,25,39,-,-,-,-,-,-,
李(紅肉)(元/公斤),2011,-,-,-,-,-,47.50,41,-,-,-,-,-,
鶯歌桃(元/公斤),2011,-,-,-,49.17,47.67,-,-,-,-,-,-,-,
甜桃(元/公斤),2011,-,-,-,-,-,-,62.22,62.85,-,-,-,-,
水蜜桃(元/公斤),2011,-,-,-,-,-,-,-,-,-,19.50,16.67,-,
牛心柿(元/公斤),2011,-,-,-,-,-,-,-,-,-,69.11,61.78,67.33,
甜柿(元/公斤),2011,-,-,-,-,-,-,-,17.90,17.33,16.37,23,-,
紅柿(軟柿)(元/公斤),2011,-,-,45.67,41.89,30.75,-,-,-,-,-,-,-,
青梅(手採)(元/公斤),2011,-,-,-,11.03,9.61,-,-,-,-,-,-,-,
青梅(竿採)(元/公斤),2011,-,-,-,-,-,-,40,25,9,-,-,-,
橫山梨(元/公斤),2011,-,-,-,-,-,-,-,40,40.33,40.67,39.74,-,
新世紀梨(元/公斤),2011,-,-,-,-,-,59.61,41.44,-,-,-,-,-,
豐水梨(元/公斤),2011,-,-,-,-,-,-,-,-,-,-,-,-,
幸水梨(元/公斤),2011,-,-,-,-,-,-,40.36,34.18,34.11,29.67,-,-,
新興梨(元/公斤),2011,55.50,58,81.67,73.67,60,77.89,48.50,44.67,72.67,72.50,63.50,43.73,
巨峰葡萄(元/公斤),2011,49.76,49.87,50.21,52.04,53.31,52.20,46.15,45.75,42.34,40.90,36.49,36.65,
落花生(帶殼)(元/公斤),2011,71.45,74.38,76,-,-,-,-,-,-,-,-,58.42,
紅豆(中等)(元/公斤),2011,79.67,79.75,78.83,80.17,81.67,85.50,81.83,81,80.83,80.67,80.83,-,
綠豆(省產)(元/公斤),2011,14.52,15.86,15.99,16.44,15.93,22.42,23.29,24.17,16.69,11.64,12.67,11.76,
甘藷(元/公斤),2011,-,-,186.67,257.61,242.13,190.07,140,141.67,173.83,199.46,256.63,163.33,
烏龍茶菁(手)(元/公斤),2011,-,-,-,85,82.22,71.67,60,55,53.89,56.88,66.65,-,
烏龍茶菁(機)(元/公斤),2011,-,-,146.67,158.97,145.81,130.50,100,88.33,97.42,112.51,157.72,128.33,
金萱茶菁(手)(元/公斤),2011,-,-,30,54.22,47.44,46.44,39.11,35.78,35.26,37.26,49.22,-,
金萱茶菁(機)(元/公斤),2011,-,-,-,-,-,300,345,330,326.67,361.67,-,-,
蓮子(脫殼)(元/公斤),2011,8.73,9.34,8.78,8.68,7.77,8.12,8.26,9.36,9.91,11.01,10.83,11.03,
紅甘蔗(元/公斤),2011,235.62,240.25,243.67,240.33,226.67,217.11,223.33,212.47,214.20,220.60,236.10,219.96,
芝麻(黑省產)(元/公斤),2011,8.61,9.03,7.88,8.33,7.21,7.03,7.78,7.61,7.66,6.04,5.55,6.01,
文心蘭(元/支),2011,6.31,6.17,5.08,4.15,3.08,4.50,4.25,5.32,5.99,5.91,5.32,3.82,
菊花(大菊)(元/支),2011,6.99,11.34,7.48,2.79,3.38,3.30,3.43,3.47,3.80,4.40,4.49,5.18,
玫瑰(黛安娜)(元/支),2011,15.13,14.49,12.45,11.96,8.83,8.79,9.88,10.58,10.03,10.34,9.43,9.76,
火鶴(紅)(元/支),2011,4.30,2.47,1.73,2.02,1.76,2.04,2.90,3.16,3.44,3.74,3.19,3.67,
非洲菊(元/支),2011,75.38,64.50,35.67,40.55,42.80,39.77,51.90,72.67,75.03,102.20,63.83,49.67,
滿天星(元/ 把),2011,56.67,63,35.33,30,20,41.67,35,43.33,50.33,60.33,46.67,50,
卡斯比亞(元/把),2011,4.85,4.50,3.83,3.94,4.41,2.01,1.88,3.35,3.37,3.58,2.75,2.80,
香石竹(康乃馨)大輪(元/支),2011,-,-,-,-,-,-,-,-,-,-,-,-,
香石竹(康乃馨)中康(元/支),2011,11.17,12,10.33,5.33,4.43,4.17,6.67,4.73,6.40,7.93,8.17,10.67,
天堂鳥(元/支),2011,5.17,3.25,3.83,5,3.83,3.33,4.17,4.33,6,5.67,3.83,4.50,
夜來香(元/支),2011,7.03,3.37,4.15,4.12,4.66,4.46,6.23,5.85,6.46,6.53,4.14,4.73,
唐菖蒲(劍蘭)(元/支),2011,-,-,-,-,-,37,-,-,-,-,20.87,21.46,
葵百合(紅)(元/支),2011,-,-,-,-,-,-,-,-,-,-,-,-,
姬百合(橙)(元/支),2011,32.73,23.47,22.95,18.50,18.33,23.33,31,31,34,35,28.52,22.66,
香水百合(白)(元/支),2011,25.62,21.53,27.48,23.27,22,23.33,24,24,24,24,24,24,
香水百合(黃)(元/支),2011,-,-,-,-,-,-,-,-,-,-,-,-,
聖誕紅(元/盆),2010,4.84,4.44,5.54,6.98,7.07,7.87,9.68,9.03,8.73,13.19,12.43,4.36,
蘿蔔(元/公斤),2010,8.68,7.62,7.09,8.66,9.22,11.70,12.47,12.93,13.33,14.07,15.07,13.58,
胡蘿蔔(元/公斤),2010,-,-,12.47,12.47,-,-,-,-,-,-,-,-,
牛蒡(元/公斤),2010,30,-,-,-,54.42,44.83,40.30,38,38.12,39.89,33.67,35.33,
生薑(嫩薑)(元/公斤),2010,-,-,-,-,-,-,-,-,-,-,-,-,
生薑(老薑粉薑)(元/公斤),2010,35.16,34.16,32,31.33,27.67,22,19.33,17.61,20.80,20.83,23.96,24.11,
芋頭(元/公斤),2010,-,-,-,90.31,73.87,65.60,53.41,52.81,47.20,58.44,36,-,
綠竹筍(元/公斤),2010,-,-,-,25,15.33,19.67,14.67,16.83,17.50,23.67,-,-,
烏殼;綠竹筍(元/公斤),2010,75,75,61.67,53.33,37.33,31.86,22.60,22.33,23.93,30.18,48.33,50,
麻竹筍(元/公斤),2010,-,-,25,19.33,20,-,-,-,-,-,-,-,
桂竹筍(生筍)(元/公斤 ),2010,-,-,-,-,-,-,-,-,-,-,-,-,
轎篙筍(元/公斤),2010,-,-,-,-,67.50,69.50,73.33,75.17,76.17,74.67,75,-,
白蘆筍(元/公斤),2010,-,70,72.78,70,70.32,72.22,74.56,73.27,73.61,75.28,66.67,-,
綠蘆筍(元/公斤),2010,-,81,67,41.67,39.67,51,48,44,33.67,44.67,47.33,-,
茭白筍(帶殼)(元/公斤),2010,8,10,15,-,-,-,-,-,-,-,-,-,
大芥菜(鮮食)(元/公斤),2010,17.36,12.97,12.66,11.83,13.83,13.37,13.23,14,14.33,15.07,14.50,12.76,
馬鈴薯(食用)(元/公斤),2010,16.12,16.29,22.24,25.65,24.61,25.11,26.76,33.65,41.94,41.21,29.43,21.89,
青蔥(元/公斤),2010,12.33,10.40,10.72,13.53,17.88,18.72,18.43,22.70,-,-,23.50,20.50,
洋蔥(內銷)(元/公斤),2010,27.31,19.82,25.51,28.51,-,-,-,-,-,-,-,34.68,
青蒜(元/公斤),2010,66.66,72,53.96,65.16,76.21,79.01,79.64,87.69,96.21,92.06,87.77,87.18,
蒜頭(蒜球)(元/公斤),2010,18.90,18.42,19.39,17.39,14.72,17.59,21.20,17.67,23.94,25.67,25.83,15.08,
韭菜(元/公斤),2010,-,-,-,-,-,-,-,-,-,-,-,-,
韭黃(元/公斤),2010,-,-,-,-,-,-,-,-,-,-,-,-,
蕹菜(空心菜)(元/公斤),2010,25.33,22.04,26.13,23.08,17.75,-,-,-,-,-,-,-,
芹菜(土芹菜)(元/公斤),2010,4.43,4.32,7.02,8.51,7.15,8.06,12.31,17.15,18.03,9.06,15.49,6.94,
甘藍(元/公斤),2010,21.09,13.13,21.49,19.80,19.72,-,-,-,-,-,-,-,
甘藍芽(元/公斤),2010,14,12,16.83,12.75,10.25,14.08,14.25,17.42,19.33,19.67,18.92,15.08,
小白菜(元/公斤),2010,13,9.63,17.38,11.28,8.11,11.94,14.50,14.22,15.34,16.23,15.30,9.79,
青江白菜(元/公斤),2010,4.62,6.39,12.53,10.68,6.33,12.07,11.29,11.21,10.86,14.20,13.24,5.39,
結球白菜(元/ 公斤),2010,17.13,13.25,23.53,18.56,-,26,38.33,62.30,63,60.44,31.16,18.50,
菠菜(元/公斤),2010,12,14,21.33,13.33,8,-,-,-,-,-,-,-,
芥藍(元/公斤),2010,31,-,26.67,25,15.33,23.33,17.67,18.67,26.33,29,28.67,23,
莧菜(元/公斤),2010,16.11,13.67,20.22,16.11,10.33,-,-,-,-,-,-,-,
本島萵苣(元/公斤),2010,12.61,9.48,14.42,11.67,9.06,-,-,-,-,-,-,-,
萵苣(油麥菜)(元/公斤),2010,19.78,12.50,30.17,25,-,-,-,-,-,51,39.42,26.53,
茼萵(元/公斤),2010,15.94,14.90,17.69,13.61,11.61,27.19,33.06,24.56,29.21,31.78,23.75,13.28,
花椰菜(白)(元/公斤),2010,18.12,11.78,13.62,18.87,27.68,-,-,-,-,-,-,-,
青花苔(元/公斤),2010,512,527.50,480,508.33,470,470,473.33,478.61,533.11,518.33,536.67,538.89,
金針菜  (乾)(元/公斤),2010,21.48,19.06,18.52,14.50,9.73,17.28,17.86,12.98,16.16,26.43,16.28,9.75,
胡瓜(黑刺)(元/公斤),2010,30.74,36.25,30.33,21.12,18,24.67,26.33,22.71,32,45.61,26.62,16.04,
花胡瓜(元/公斤),2010,5,5.75,5.58,6.79,6.90,-,-,-,-,-,-,-,
冬瓜(元/公斤),2010,31.05,39.14,36.75,26.87,19.30,25.88,25.57,23.79,34.41,51.98,52.86,43.05,
苦瓜(元/公斤),2010,-,-,-,-,-,-,-,-,-,-,-,-,
絲瓜(菱角)(元/公斤),2010,21.63,22.17,27.63,19.14,13.30,20.05,17.68,14.40,16.77,21.53,21.50,16.83,
絲瓜(元/公斤),2010,11.53,9.01,14.75,9.21,6.88,-,-,-,-,-,-,-,
扁蒲(元/公斤),2010,11,8.33,12.53,17.33,17.48,27.44,22.53,21.89,27.78,42.43,35.89,35.67,
茄子(元/公斤),2010,20.93,14.62,17.65,22.47,22.44,24.08,32.55,37.96,28.17,30.55,28.21,36.11,
番茄(黑柿)(元/公斤),2010,-,-,-,-,-,-,-,-,-,-,-,-,
小蕃茄(聖女)(元/公斤),2010,11.40,12.77,21.04,20.15,17.74,23.48,37,24,30,41.06,42.63,24.36,
甜椒(青椒)(元/公斤),2010,-,-,13,12.43,12.77,10.59,12.87,8.50,-,-,-,17,
西瓜(大粒)(元/公斤),2010,-,-,23.67,14.47,11.42,8.02,13.93,14.42,11.50,21,14.67,22,
西瓜(小粒)(元/公斤),2010,-,-,-,16.70,14.75,-,-,-,-,-,-,-,
西瓜(無子)(元/公斤),2010,46,43.50,45.50,38.58,41.11,32.08,35.40,33.17,30.33,39.17,29.33,40.33,
洋香瓜(元/ 公斤),2010,-,-,45,41.55,32.28,28.89,31.33,34.83,34.80,38.55,45,-,
香瓜(美濃瓜)(元/公斤),2010,42.20,48.67,42.11,36.89,46.22,57.47,57.28,57.26,55,66.87,68.24,35.39,
敏豆(四季豆)(元/公斤),2010,35.11,32.67,39.56,29.56,23.22,28.67,28.52,21.67,29.58,47.67,47.33,30.22,
豇豆(元/公斤),2010,50.15,40.25,63.61,68.33,-,-,-,-,-,-,111.17,52.71,
豌豆(元/公斤),2010,51.33,42.75,37.33,32,-,-,-,-,-,-,-,-,
甜豌豆(元/公斤),2010,17.08,14.10,14.50,14.50,13.62,-,-,-,-,-,-,-,
毛豆(帶莢)(元/公斤),2010,22.08,18.63,19.33,20.33,19.82,24.74,38.20,29.17,44,54.83,76.45,63.22,
辣椒(元/公斤),2010,19.71,9.50,8.49,8,9.17,10.90,11.48,12.08,12.15,16.36,21.45,13.10,
甜玉米(鮮食)(元/公斤),2010,79.67,81.75,-,-,-,-,-,62,60,53.33,75,79,
蓮藕(元/公斤),2010,142.22,91.34,73.11,58.61,-,-,-,-,-,-,-,133.33,
草莓(元/公斤),2010,81.67,81.88,85.13,97.50,100,100,100,100,100,100,95,84.44,
洋菇(元/公斤),2010,845,904.13,852.50,829.17,837.50,847.50,831.67,834.17,845,845,845.42,846.25,
香菇(太空包)乾(元/公斤),2010,60.11,62.50,58.33,56.78,55.89,57.67,61.67,63.89,63.89,63.89,63.33,63.33,
香菇(太空包)鮮(元/公斤),2010,38.17,37,36.33,29.67,29.67,27.67,27,31,37.67,38.33,41.67,45.67,
木耳(黑色溼)(元/公斤),2010,73,74,79.67,79.67,76.50,-,-,-,-,-,-,-,
鮑魚菇(元/公斤),2010,-,-,-,-,-,76.56,77.78,77.45,82.45,86.67,86.56,86.78,
杏鮑菇(元/公斤),2010,16.17,15.75,26.17,24.33,-,-,-,-,35.67,19.39,17,15.75,
葡萄柚(元/公斤),2010,-,-,70,47.67,34.02,24.81,-,-,-,-,-,-,
芒果(在來)(元/公斤),2010,-,-,-,135.80,72.32,36.34,46.13,65.33,-,-,-,-,
芒果(愛文)(元/公斤),2010,-,-,-,46,40.22,24.58,24.50,45.10,-,-,-,-,
芒果(金煌)(元/公斤),2010,-,-,-,-,-,-,-,-,-,-,-,-,
番石榴(泰國)(元/公斤),2010,-,-,-,-,-,-,-,-,-,-,-,-,
番石榴(世紀)(元/公斤),2010,25.53,9.42,9.01,20.29,19.92,13.54,12.58,17.12,18.40,21,33.62,41.64,
番石榴(珍珠)(元/公斤),2010,69.71,50.82,43.75,46.32,47.13,36.02,-,-,-,-,69.98,69.88,
蓮霧(元/公斤),2010,-,-,85.97,81.67,-,-,-,-,-,-,-,-,
枇杷(元/公斤),2010,-,-,-,-,41,24.09,19.58,-,-,-,-,-,
荔枝(黑葉)(元/公斤),2010,-,-,-,-,104.11,69.60,-,-,-,-,-,-,
荔枝(玉荷)(元/公斤),2010,-,-,-,-,-,-,41.76,23.76,21.19,-,-,-,
龍眼(大粒)(元/公斤),2010,60.13,26.97,21.48,-,-,-,-,-,-,-,60,58.10,
棗子(元/公斤),2010,50.22,57.75,57,-,-,-,71,58.89,55.50,58.89,57.67,57.22,
番荔枝(元/公斤),2010,27.92,24.72,17.75,18.33,-,24,24.33,23.58,18.17,25,24.42,25.58,
楊桃(馬來種)(元/公斤),2010,-,-,-,-,-,51,39.72,37.11,41.95,52.33,65,70.33,
酪梨(元/公斤),2010,4.06,4.29,5.13,5.28,5.44,5.50,5.78,5.61,6.17,5.67,4.83,5.50,
椰子(元/公斤),2010,0.80,1.04,1.18,1.68,2.67,3.24,2.69,1.70,1.07,0.64,0.42,0.44,
檳榔(元/ 粒),2010,48.10,47.43,44.47,33.44,25.52,14.27,16.71,21.81,14.77,22.90,22.38,45.78,
木瓜(元/公斤),2010,-,-,-,-,-,36.50,35.67,36.50,34.50,28.33,30.67,33.33,
百香果(元/公斤),2010,26.22,20.40,14.57,18.62,13.71,6.58,6.41,8.45,6.89,10.90,11.42,15.92,
香蕉(內銷)(元/公斤),2010,-,-,-,20,15,14.03,15.50,17.13,16.28,15,15,-,
鳳梨(開英)(元/公斤),2010,17.67,22.50,23.98,21.63,19.56,13.68,15.12,20.43,16.86,21,19.67,15.33,
鳳梨(17號)(元/公斤),2010,-,-,-,-,-,-,25,29.17,35.62,49.67,69.83,-,

