作物,年份,1月價格,2月價格,3月價格,4月價格,5月價格,6月價格,7月價格,8月價格,9月價格,10月價格,11月價格,12月價格,
聖誕紅(元/盆),2016,-,-,-,-,-,-,-,-,-,-,78.33,75,
聖誕紅(元/盆),2015,11.84,6.65,5.96,9.34,10.68,13.24,14.41,15.97,20.33,13.58,9.72,6.82,
蘿蔔(元/公斤),2015,11.11,9.06,8.59,10.13,12.03,13.13,13.50,15.57,20.17,24,24.83,23.33,
胡蘿蔔(元/公斤),2015,-,-,12.70,16.90,-,-,-,-,-,-,-,-,
牛蒡(元/公斤),2015,-,-,-,-,72.67,59.17,52.50,53.33,59.50,58.67,-,-,
生薑(嫩薑)(元/公斤),2015,54.73,58.62,50.22,48.33,48.07,65,70,80,91.67,71.67,73.33,51.67,
生薑(老薑粉薑)(元/公斤),2015,38.09,42.03,43.33,45,45,40,36,38.89,34.60,41.32,47.33,54.47,
芋頭(元/公斤),2015,-,-,-,113.99,108.64,85.96,84.75,68.15,87.30,78.56,-,-,
綠竹筍(元/公斤),2015,-,-,-,29.33,22.33,21.67,21.33,30.67,38.33,31.67,-,-,
烏殼;綠竹筍(元/公斤),2015,53,57.50,58.33,44.18,38,31.22,27.54,33.75,43.50,38.83,32.83,35.67,
麻竹筍(元/公斤),2015,-,-,-,27.64,26.83,-,-,-,-,-,-,-,
桂竹筍(生筍)(元/公斤 ),2015,-,-,-,-,27,25.50,-,-,-,-,-,-,
轎篙筍(元/公斤),2015,-,-,-,-,73.83,72.83,77.67,77.83,92.50,87.50,-,-,
白蘆筍(元/公斤),2015,200,-,105.83,100.83,77,94,97.58,102.92,111.11,105,-,-,
綠蘆筍(元/公斤),2015,-,85,63.33,60,45.33,63.33,76.67,65,66.67,75,65,-,
茭白筍(帶殼)(元/公斤),2015,9.89,5.38,-,-,-,-,-,-,-,-,-,-,
大芥菜(鮮食)(元/公斤),2015,24.47,20.41,19.72,17.83,17.43,17.97,18.50,19.90,22,23.83,24.50,21.35,
馬鈴薯(食用)(元/公斤),2015,29.14,23.14,21.33,21.32,21.97,42.20,55.22,93.97,74.55,77.95,57.85,68.62,
青蔥(元/公斤),2015,13.67,11.75,10.08,10.99,15.40,16.87,19.53,23.60,-,-,-,19.33,
洋蔥(內銷)(元/公斤),2015,46.91,34.34,34.28,32.43,-,-,-,-,-,-,-,51,
青蒜(元/公斤),2015,-,72,56.75,49.56,48.45,53.21,58.09,63.33,65.68,67.34,71.03,71.79,
蒜頭(蒜球)(元/公斤),2015,35.44,33.84,24.33,23,20,29,27.11,32.45,66.44,60.33,40.78,31.89,
韭菜(元/公斤),2015,-,-,-,-,-,-,-,-,-,-,-,-,
韭黃(元/公斤),2015,42.28,25,22.03,23.16,17.59,25.73,19.14,34.85,45.05,36.73,27.24,33.11,
蕹菜(空心菜)(元/公斤),2015,29.50,28.75,30.05,35.89,21.67,-,-,-,-,-,-,-,
芹菜(土芹菜)(元/公斤),2015,12.70,6.02,5,12.36,14.25,15.11,18.78,27.41,37.76,37.03,22.08,7.55,
甘藍(元/公斤),2015,-,-,-,-,-,-,-,-,-,-,-,-,
甘藍芽(元/公斤),2015,21.20,15.59,14.61,17.19,15.17,32.58,19.42,48.50,51.67,34.33,23.77,16.83,
小白菜(元/公斤),2015,15.41,8.84,14.44,15.17,10.50,27.67,13.50,40.67,50.33,31.33,19.42,14,
青江白菜(元/公斤),2015,9.91,5.40,6.80,14.30,9.24,20.24,13.04,20.35,25.51,19.52,12.57,10.98,
結球白菜(元/ 公斤),2015,22.46,11.70,13.93,27.62,-,33.21,44.96,77.98,71.17,47.58,38.86,22.07,
菠菜(元/公斤),2015,-,-,-,-,-,-,-,-,-,-,-,-,
芥藍(元/公斤),2015,31,-,27,28.14,16.08,27.79,21.57,30.09,50.73,44.04,33.58,38.61,
莧菜(元/公斤),2015,24.14,9.83,12.22,22.89,10.45,-,-,-,-,-,-,-,
本島萵苣(元/公斤),2015,20.92,7.50,8.67,15.44,9.11,-,-,-,-,-,-,-,
萵苣(油麥菜)(元/公斤),2015,19,13.38,17.44,24,-,-,-,-,-,41.50,27.17,33.61,
茼萵(元/公斤),2015,19.18,13.57,14.44,22.89,18.89,42.11,44,36.11,59,54.91,39.11,26.05,
花椰菜(白)(元/公斤),2015,28.39,16.95,14.62,23.70,-,-,-,-,-,-,-,-,
青花苔(元/公斤),2015,735,740.50,738.83,738,605.55,457.78,485.50,517.66,564.33,564.33,571,571,
金針菜  (乾)(元/公斤),2015,27.95,22.73,13.80,16.32,15.89,18.83,14.23,29.56,37.30,30.85,17.86,17.07,
胡瓜(黑刺)(元/公斤),2015,33.34,33.75,27.17,29.50,21.92,30.79,24.63,36.61,53.50,44.08,32.39,28.71,
花胡瓜(元/公斤),2015,10.33,9,13.63,12.28,9.63,8.33,13.33,13.67,20.70,18.87,21.32,12.67,
